CITY,FUND_TYPE,AMOUNT,CITY_TARGET
ANCRAMDALE,INCOME_AMT,226052.0,0
ANDALE,INCOME_AMT,0.0,0
ANDALUSIA,INCOME_AMT,733825536.0,0
ANDDREWS,INCOME_AMT,0.0,0
ANDERLSON,INCOME_AMT,0.0,0
ANDERSON,INCOME_AMT,1486160379.0,0
ANDERSON IS,INCOME_AMT,94571.0,0
ANDERSON ISLAND,INCOME_AMT,0.0,0
ANDERSONABBEVILLE,INCOME_AMT,0.0,0
ANDERSONVILLE,INCOME_AMT,1093516.0,0
ANDES,INCOME_AMT,178421.0,0
ANDESON,INCOME_AMT,0.0,0
ANDORRA,INCOME_AMT,0.0,0
ANDOVER,INCOME_AMT,1248000429.0,0
ANDREAS,INCOME_AMT,216914.0,0
ANDREW,INCOME_AMT,143983.0,0
ANDREWS,INCOME_AMT,26330427.0,0
ANETA,INCOME_AMT,3862712.0,0
ANGEL FIRE,INCOME_AMT,1497595.0,0
ANGELA,INCOME_AMT,0.0,0
ANGELES,INCOME_AMT,0.0,0
ANGELFIRE,INCOME_AMT,0.0,0
ANGELICA,INCOME_AMT,497887.0,0
ANGELS CAMP,INCOME_AMT,37393307.0,0
ANGELUS OAKS,INCOME_AMT,4546306.0,0
ANGIE,INCOME_AMT,4082053.0,0
ANGIER,INCOME_AMT,4014817.0,0
ANGLE FIRE,INCOME_AMT,0.0,0
ANGLE INLET,INCOME_AMT,536366.0,0
ANGLER,INCOME_AMT,0.0,0
ANGLETON,INCOME_AMT,46927921.0,0
ANGOLA,INCOME_AMT,338898240.0,0
ANGOON,INCOME_AMT,0.0,0
ANGORA,INCOME_AMT,0.0,0
ANGUILLA,INCOME_AMT,0.0,0
ANGUS,INCOME_AMT,0.0,0
ANGWIN,INCOME_AMT,56287168.0,0
ANIAK,INCOME_AMT,0.0,0
ANIMAS,INCOME_AMT,13473060.0,0
ANITA,INCOME_AMT,714271.0,0
ANIWA,INCOME_AMT,71496.0,0
ANKENY,INCOME_AMT,176297104.0,0
ANMOORE,INCOME_AMT,427445.0,0
ANN,INCOME_AMT,0.0,0
ANN ANRBOR,INCOME_AMT,235804.0,0
ANN ARBOR,INCOME_AMT,2877453579.0,0
ANNA,INCOME_AMT,39509491.0,0
ANNA MARIA,INCOME_AMT,5393601.0,0
ANNABELLA,INCOME_AMT,5000.0,0
ANNADA,INCOME_AMT,0.0,0
ANNADALE,INCOME_AMT,9124618.0,0
ANNADRKO,INCOME_AMT,0.0,0
ANNANDALE,INCOME_AMT,648577135.0,0
ANNAPOLIS,INCOME_AMT,2863573385.0,0
ANNAPOLIS JCT,INCOME_AMT,487799.0,0
ANNAPOLIS JUNCTION,INCOME_AMT,0.0,0
ANNAPOLLIS,INCOME_AMT,0.0,0
ANNARBOR,INCOME_AMT,0.0,0
ANNAWAN,INCOME_AMT,83027.0,0
ANNETTA,INCOME_AMT,0.0,0
ANNISTON,INCOME_AMT,475320125.0,0
ANNONA,INCOME_AMT,0.0,0
ANNVILLE,INCOME_AMT,213300674.0,0
ANOKA,INCOME_AMT,77003675.0,0
ANOMOSA,INCOME_AMT,0.0,0
ANSLEY,INCOME_AMT,0.0,0
ANSON,INCOME_AMT,303233.0,0
ANSONIA,INCOME_AMT,6422532.0,0
ANSONVILLE,INCOME_AMT,140754.0,0
ANSTED,INCOME_AMT,0.0,0
ANTELOPE,INCOME_AMT,2708834.0,0
ANTES FORT,INCOME_AMT,280532.0,0
ANTHEM,INCOME_AMT,22195005.0,0
ANTHON,INCOME_AMT,425688.0,0
ANTHONY,INCOME_AMT,9120370.0,0
ANTIGO,INCOME_AMT,141009802.0,0
ANTIGUA & BARBUDA,INCOME_AMT,155480.0,0
ANTIMONY,INCOME_AMT,0.0,0
ANTIOCH,INCOME_AMT,142339419.0,0
ANTLER,INCOME_AMT,0.0,0
ANTLERS,INCOME_AMT,102352.0,0
